タイムスタンプ,学籍番号を入力お願いします,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか,講義の難易度,情報工学の知識習得に役立ちましたか,プログラミングの知識習得に役立ちましたか,英語の知識習得に役立ちましたか,社会に対する学びはどの程度ありましたか,人間に対する学びはどの程度ありましたか,グループワークは多いですか,成績の付け方は試験重視ですか。レポート重視ですか。,科目の満足度はどのくらいですか
2021/08/29 13:12:49,1316200104,,,,,,,,,,5,5,3,1,4,1,1,試験重視,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,5,4,3,レポート重視,4,,,,,,,,,,4,4,3,1,3,1,1,試験とレポート,3,4,4,1,1,1,1,1,試験とレポート,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,1,1,1,1,試験重視,3,3,4,4,4,1,1,1,試験重視,4,3,3,1,1,3,3,3,試験とレポート,3
2021/08/29 19:41:46,1116191026,,,,,,,,,,1,3,1,1,1,1,3,試験重視,3,,,,,,,,,,,,,,,,,,,3,1,1,1,1,1,1,試験重視,1,1,2,1,1,5,3,1,レポート重視,5,,,,,,,,,,3,3,1,1,2,1,1,試験とレポート,2,3,2,1,1,1,1,1,試験とレポート,3,,,,,,,,,,,,,,,,,,,4,3,1,1,1,1,1,試験重視,1,3,3,1,1,1,1,1,試験重視,3,3,4,5,1,1,1,3,試験とレポート,3,,,,,,,,,
2021/08/29 20:08:38,1116191078,4,3,1,1,1,1,1,試験重視,3,3,5,3,1,3,1,4,試験とレポート,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,1,5,3,4,レポート重視,3,,,,,,,,,,4,5,4,1,1,1,1,試験とレポート,3,1,4,3,1,1,1,1,試験重視,3,,,,,,,,,,,,,,,,,,,5,5,2,1,1,1,1,試験重視,3,1,5,4,1,1,1,1,試験重視,4,3,4,4,2,1,1,1,レポート重視,2,,,,,,,,,
2021/08/31 18:35:12,1316200135,,,,,,,,,,2,4,3,1,3,3,5,試験重視,4,,,,,,,,,,,,,,,,,,,2,4,2,1,1,1,3,試験とレポート,4,2,3,3,1,5,5,5,レポート重視,5,,,,,,,,,,3,4,4,1,1,2,3,試験とレポート,4,3,4,3,1,1,2,1,試験とレポート,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,3,4,2,3,1,試験重視,2,1,4,1,1,5,5,3,レポート重視,4
2021/09/01 13:26:31,1G151011,4,1,1,1,4,1,1,試験重視,3,3,5,2,1,4,4,1,試験とレポート,4,,,,,,,,,,4,1,1,1,1,1,1,試験とレポート,2,3,1,1,1,3,3,1,試験とレポート,4,2,4,1,1,5,5,4,レポート重視,5,,,,,,,,,,4,5,3,3,5,4,1,試験とレポート,4,3,1,1,1,4,3,1,試験重視,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,1,4,2,1,試験重視,2,,,,,,,,,,,,,,,,,,
2021/09/01 14:52:45,1116181016,,,,,,,,,,3,4,4,1,4,4,5,試験とレポート,3,2,4,1,1,4,4,1,レポート重視,4,,,,,,,,,,3,4,,1,2,2,1,試験とレポート,3,2,4,1,1,5,5,5,レポート重視,4,,,,,,,,,,4,5,1,1,4,2,1,試験とレポート,5,4,4,1,1,2,2,1,試験重視,3,2,4,1,1,4,5,4,試験とレポート,2,,,,,,,,,,5,1,1,1,1,1,1,試験重視,1,5,1,1,1,1,1,1,試験重視,2,,,,,,,,,,,,,,,,,,
2021/09/01 15:19:28,1116181055,,,,,,,,,,4,5,3,1,3,4,4,試験重視,4,,,,,,,,,,,,,,,,,,,3,2,2,1,1,1,1,試験重視,4,1,3,2,1,4,4,3,レポート重視,5,,,,,,,,,,4,5,3,1,1,1,1,試験とレポート,3,4,3,3,1,1,1,1,試験重視,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,1,1,1,1,試験重視,3,1,5,5,3,1,1,1,試験重視,3,,,,,,,,,
2021/09/02 17:37:29,1116191062,3,1,1,1,1,1,1,試験重視,5,3,4,4,1,3,2,2,試験とレポート,4,,,,,,,,,,,,,,,,,,,4,3,1,1,1,1,2,試験とレポート,3,,,,,,,,,,,,,,,,,,,4,4,3,1,2,2,3,試験とレポート,4,1,2,2,1,1,1,1,試験重視,2,,,,,,,,,,,,,,,,,,,3,3,2,1,1,1,2,試験重視,3,3,4,3,2,2,2,2,試験重視,5,2,3,3,2,2,1,1,試験とレポート,3,,,,,,,,,
2021/09/24 15:34:02,1116181080,,,,,,,,,,3,5,1,1,1,1,3,試験重視,3,,,,,,,,,,,,,,,,,,,1,3,1,1,1,1,1,試験重視,3,1,5,1,1,3,2,3,レポート重視,5,5,3,1,1,1,1,1,レポート重視,1,4,5,3,1,1,1,1,試験とレポート,4,1,1,1,1,1,1,1,試験重視,3,1,5,1,1,3,3,3,レポート重視,3,,,,,,,,,,,,,,,,,,,5,3,1,1,1,1,1,試験重視,1,,,,,,,,,,,,,,,,,,
2021/10/22 16:45:27,1116181022,,,,,,,,,,2,5,1,1,2,2,3,試験とレポート,4,,,,,,,,,,,,,,,,,,,2,2,1,1,2,1,1,試験重視,2,1,3,1,1,4,3,3,レポート重視,5,,,,,,,,,,4,4,2,1,2,1,1,試験とレポート,3,2,2,1,1,2,1,1,試験重視,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,1,1,1,1,試験重視,3,1,3,2,1,3,1,1,試験重視,3,,,,,,,,,
